date,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
2020-03-08,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
2020-03-09,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
2020-03-10,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0
2020-03-12,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,15.0,1.0,0.0,0.0,4.0,2.0,0.0,46.0,0.0
2020-03-13,0.0,1.0,2.0,0.0,7.0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,65.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,9.0,0.0,14.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
2020-03-16,0.0,1.0,0.0,0.0,10.0,9.0,19.0,8.0,9.0,0.0,6.0,4.0,0.0,0.0,0.0,8.0,0.0,6.0,25.0,1.0,0.0,0.0,8.0,7.0,5.0,152.0,0.0
2020-03-17,3.0,1.0,0.0,0.0,14.0,10.0,0.0,8.0,10.0,0.0,14.0,6.0,0.0,0.0,0.0,18.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,164.0,0.0
2020-03-18,3.0,1.0,2.0,0.0,27.0,19.0,34.0,11.0,12.0,0.0,19.0,7.0,0.0,1.0,1.0,19.0,0.0,14.0,63.0,1.0,0.0,0.0,19.0,14.0,6.0,240.0,1.0
2020-03-19,4.0,4.0,3.0,0.0,31.0,24.0,42.0,13.0,15.0,0.0,29.0,9.0,0.0,1.0,1.0,28.0,3.0,23.0,66.0,0.0,0.0,0.0,31.0,21.0,0.0,286.0,1.0
2020-03-20,7.0,6.0,7.0,1.0,34.0,68.0,87.0,16.0,18.0,1.0,38.0,12.0,1.0,2.0,1.0,31.0,4.0,36.0,0.0,6.0,1.0,0.0,43.0,40.0,7.0,396.0,1.0
2020-03-21,11.0,7.0,11.0,1.0,41.0,84.0,108.0,26.0,19.0,2.0,55.0,16.0,0.0,2.0,1.0,33.0,4.0,43.0,119.0,9.0,3.0,2.0,69.0,57.0,10.0,396.0,2.0
2020-03-22,11.0,7.0,26.0,1.0,55.0,125.0,117.0,26.0,21.0,2.0,83.0,21.0,2.0,4.0,1.0,37.0,6.0,54.0,186.0,13.0,3.0,2.0,77.0,68.0,0.0,631.0,5.0
2020-03-23,17.0,8.0,32.0,1.0,63.0,164.0,138.0,33.0,23.0,8.0,128.0,21.0,6.0,5.0,2.0,42.0,6.0,60.0,233.0,0.0,0.0,2.0,96.0,86.0,0.0,745.0,7.0
2020-03-24,21.0,10.0,47.0,1.0,79.0,185.0,161.0,40.0,29.0,8.0,130.0,24.0,7.0,5.0,3.0,42.0,8.0,70.0,305.0,14.0,5.0,8.0,112.0,109.0,15.0,810.0,7.0
2020-03-25,23.0,11.0,54.0,2.0,91.0,211.0,195.0,40.0,35.0,8.0,133.0,24.0,9.0,7.0,5.0,46.0,8.0,97.0,370.0,14.0,5.0,8.0,162.0,122.0,16.0,862.0,7.0
2020-03-26,23.0,11.0,67.0,2.0,108.0,237.0,201.0,48.0,38.0,10.0,153.0,25.0,11.0,13.0,6.0,48.0,9.0,106.0,421.0,19.0,6.0,10.0,190.0,149.0,0.0,1052.0,8.0
2020-03-27,25.0,12.0,81.0,3.0,123.0,282.0,241.0,54.0,49.0,13.0,189.0,28.0,11.0,16.0,10.0,57.0,10.0,125.0,493.0,28.0,6.0,12.0,197.0,163.0,16.0,1223.0,9.0
2020-03-28,25.0,14.0,111.0,4.0,127.0,322.0,260.0,61.0,56.0,15.0,205.0,31.0,0.0,18.0,14.0,68.0,11.0,137.0,558.0,68.0,6.0,16.0,200.0,184.0,0.0,1406.0,9.0
2020-03-29,34.0,17.0,140.0,8.0,156.0,359.0,298.0,72.0,56.0,21.0,231.0,36.0,0.0,20.0,14.0,73.0,0.0,152.0,600.0,0.0,6.0,16.0,230.0,197.0,0.0,1451.0,10.0
2020-03-30,41.0,17.0,151.0,8.0,176.0,382.0,312.0,85.0,60.0,30.0,261.0,44.0,18.0,26.0,17.0,77.0,18.0,160.0,657.0,77.0,8.0,16.0,254.0,219.0,18.0,1517.0,11.0
2020-03-31,42.0,18.0,175.0,10.0,217.0,401.0,333.0,97.0,65.0,51.0,275.0,48.0,25.0,34.0,18.0,87.0,18.0,185.0,708.0,82.0,9.0,16.0,305.0,235.0,19.0,2339.0,12.0
2020-04-01,43.0,18.0,200.0,11.0,246.0,445.0,370.0,120.0,73.0,70.0,314.0,51.0,28.0,41.0,21.0,95.0,19.0,229.0,832.0,92.0,9.0,26.0,316.0,247.0,22.0,2981.0,12.0
2020-04-02,45.0,18.0,229.0,12.0,267.0,563.0,400.0,139.0,73.0,80.0,370.0,53.0,41.0,49.0,29.0,106.0,19.0,258.0,992.0,106.0,10.0,30.0,386.0,281.0,24.0,3506.0,12.0
2020-04-03,46.0,23.0,260.0,19.0,290.0,658.0,419.0,153.0,88.0,87.0,397.0,60.0,44.0,75.0,32.0,136.0,22.0,307.0,1074.0,176.0,10.0,37.0,410.0,301.0,27.0,4048.0,13.0
2020-04-04,46.0,23.0,311.0,29.0,336.0,745.0,456.0,166.0,103.0,95.0,430.0,62.0,60.0,82.0,34.0,176.0,24.0,401.0,1246.0,215.0,11.0,42.0,418.0,356.0,32.0,4466.0,16.0
2020-04-05,48.0,28.0,417.0,32.0,401.0,960.0,468.0,194.0,115.0,132.0,498.0,65.0,60.0,86.0,35.0,201.0,24.0,445.0,1394.0,246.0,14.0,42.0,468.0,379.0,0.0,4620.0,17.0
2020-04-06,50.0,31.0,532.0,39.0,437.0,1045.0,485.0,209.0,119.0,171.0,525.0,66.0,76.0,123.0,36.0,223.0,26.0,466.0,1461.0,0.0,18.0,42.0,501.0,417.0,32.0,4866.0,19.0
2020-04-07,50.0,34.0,636.0,51.0,462.0,1188.0,503.0,227.0,133.0,229.0,559.0,80.0,78.0,154.0,41.0,352.0,31.0,511.0,1688.0,254.0,23.0,49.0,555.0,457.0,36.0,5682.0,19.0
2020-04-08,58.0,37.0,804.0,107.0,515.0,1394.0,509.0,273.0,159.0,272.0,614.0,85.0,90.0,165.0,55.0,401.0,38.0,550.0,1938.0,261.0,26.0,52.0,581.0,501.0,39.0,6708.0,23.0
2020-04-09,62.0,37.0,899.0,110.0,568.0,1445.0,527.0,300.0,179.0,293.0,655.0,89.0,108.0,169.0,79.0,555.0,40.0,621.0,2216.0,0.0,28.0,63.0,636.0,693.0,40.0,7480.0,23.0
2020-04-10,70.0,45.0,981.0,166.0,616.0,1558.0,556.0,349.0,191.0,344.0,698.0,97.0,112.0,217.0,85.0,684.0,41.0,655.0,2464.0,263.0,32.0,75.0,640.0,717.0,42.0,8216.0,23.0
2020-04-11,72.0,48.0,1049.0,193.0,640.0,1668.0,592.0,383.0,209.0,398.0,750.0,100.0,121.0,237.0,101.0,816.0,44.0,688.0,2607.0,289.0,34.0,79.0,653.0,732.0,44.0,8419.0,25.0
2020-04-12,77.0,48.0,1206.0,237.0,674.0,1747.0,618.0,430.0,229.0,445.0,806.0,101.0,123.0,259.0,111.0,960.0,51.0,750.0,2855.0,339.0,42.0,83.0,664.0,776.0,0.0,8755.0,26.0
2020-04-13,90.0,58.0,1275.0,244.0,723.0,1935.0,641.0,463.0,233.0,478.0,815.0,113.0,134.0,310.0,136.0,1154.0,58.0,768.0,3221.0,376.0,0.0,113.0,685.0,826.0,45.0,8895.0,26.0
2020-04-14,99.0,72.0,1484.0,308.0,776.0,2070.0,651.0,557.0,284.0,630.0,884.0,115.0,138.0,384.0,152.0,1284.0,75.0,803.0,3410.0,399.0,69.0,114.0,720.0,853.0,46.0,9371.0,27.0
2020-04-15,101.0,83.0,1554.0,342.0,884.0,2291.0,688.0,734.0,304.0,695.0,903.0,121.0,151.0,487.0,165.0,1484.0,91.0,816.0,3743.0,400.0,73.0,142.0,762.0,884.0,48.0,11043.0,29.0
2020-04-16,115.0,89.0,1719.0,362.0,967.0,2412.0,727.0,935.0,318.0,797.0,958.0,131.0,156.0,557.0,195.0,1683.0,102.0,845.0,3944.0,463.0,92.0,164.0,792.0,926.0,53.0,11568.0,31.0
2020-04-17,135.0,110.0,1809.0,375.0,1064.0,2747.0,756.0,952.0,335.0,1040.0,1021.0,143.0,162.0,627.0,205.0,2006.0,123.0,887.0,4349.0,516.0,110.0,201.0,831.0,962.0,58.0,12841.0,32.0
2020-04-18,142.0,132.0,1897.0,400.0,1200.0,3062.0,796.0,1099.0,378.0,1205.0,1077.0,161.0,171.0,641.0,236.0,2193.0,144.0,960.0,4543.0,561.0,128.0,222.0,854.0,975.0,71.0,13894.0,33.0
2020-04-19,163.0,159.0,2044.0,416.0,1249.0,3306.0,860.0,1195.0,393.0,1320.0,1154.0,168.0,174.0,685.0,245.0,2459.0,158.0,1002.0,4675.0,595.0,160.0,244.0,869.0,1025.0,86.0,14267.0,34.0
2020-04-20,176.0,171.0,2160.0,435.0,1377.0,3485.0,875.0,1212.0,403.0,1396.0,1189.0,171.0,181.0,902.0,263.0,2690.0,186.0,1022.0,4899.0,608.0,199.0,247.0,904.0,1063.0,92.0,14580.0,35.0
2020-04-21,195.0,210.0,2270.0,466.0,1504.0,3682.0,913.0,1313.0,421.0,1604.0,1230.0,173.0,181.0,1026.0,301.0,2908.0,206.0,1039.0,5306.0,646.0,223.0,280.0,918.0,1091.0,117.0,15385.0,36.0
2020-04-22,214.0,243.0,2479.0,492.0,1645.0,4116.0,959.0,1351.0,438.0,1757.0,1283.0,175.0,205.0,1195.0,345.0,3298.0,217.0,1077.0,5552.0,708.0,0.0,297.0,970.0,1115.0,118.0,15914.0,37.0
2020-04-23,227.0,324.0,2888.0,555.0,1845.0,4702.0,968.0,1453.0,453.0,1951.0,1308.0,186.0,220.0,1267.0,386.0,3604.0,256.0,1096.0,6172.0,754.0,250.0,304.0,1039.0,1170.0,135.0,16740.0,43.0
